plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
H32LFV,NJ,PAS,2022743866,2025-04-15,09:32A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,033,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,16,8,0,6
KST6208,NY,PAS,2023000737,2025-04-11,01:49A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,108,Queens,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,3,17,8,0,6
LJF2611,NY,PAS,5701170937,2024-11-12,02:15P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,1,17,8,7,6
XJWA27,NJ,PAS,9196189113,2025-04-24,04:37P,PLTFRM LFTS LWRD POS COMM VEH,45.0,0.0,0.0,0.0,45.0,0.0,024,Manhattan,TRAFFIC,UNKNOWN,,2025,4,24,3,2,0,45.0,45.0,0.0,0,2,16,8,6,6
LDK4239,NY,PAS,9196189575,2025-04-25,03:46P,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,019,Manhattan,TRAFFIC,UNKNOWN,,2025,4,25,4,2,0,115.0,115.0,0.0,1,2,17,8,6,6
72570MM,NY,COM,9196190644,2025-04-08,02:38P,DOUBLE PARKING,115.0,0.0,0.0,0.0,115.0,0.0,019,Manhattan,TRAFFIC,HEARING HELD-GUILTY,,2025,4,8,1,2,0,115.0,115.0,0.0,1,2,17,1,6,3
4LSK32,MA,PAS,4941170489,2025-03-22,11:39A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,0,10,8,1,6
KHG6248,NY,PAS,4939770606,2025-03-11,09:37A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,8,1,6
LTP2743,NY,PAS,4939770692,2025-03-11,09:38A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
FWH2205,NY,PAS,4939770450,2025-03-11,09:30A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
KFN7289,NY,PAS,4939770461,2025-03-11,09:31A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
KLW1316,NY,PAS,2023084398,2025-04-11,09:07A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,109,Queens,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,3,17,8,0,6
TGV5699,VA,PAS,5701171528,2024-11-12,03:05P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,1,24,8,7,6
