plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
LDA6523,NY,PAS,4966010512,2025-09-24,02:44P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,1,17,8,1,6
DDH8241,NY,PAS,4939775793,2025-03-11,09:43A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
LKK1670,NY,PAS,2023333660,2025-04-10,11:54A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,032,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,10,3,2,0,65.0,65.0,0.0,1,2,17,8,0,6
LKY4708,PA,PAS,2023337136,2025-04-11,11:53A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,013,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,2,19,8,0,6
KVN4974,NY,PAS,9179900926,2025-01-14,11:56A,REG. STICKER-EXPIRED/MISSING,65.0,10.0,0.0,0.0,75.0,0.0,106,Queens,TRAFFIC,UNKNOWN,,2025,1,14,1,1,0,75.0,75.0,0.0,1,3,17,8,6,6
LLE3441,NY,PAS,4939197633,2025-03-06,12:37P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
T108610C,NY,OMT,4939197852,2025-03-06,12:38P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,6,1,6
HUX4517,NY,PAS,9188790265,2025-02-27,03:42P,NO STANDING-EXC. TRUCK LOADING,95.0,60.0,0.0,30.0,125.0,0.0,005,Manhattan,TRAFFIC,UNKNOWN,,2025,2,27,3,1,0,155.0,95.0,0.0,1,2,17,8,6,6
KVH5637,NY,PAS,9188790599,2025-02-28,11:58A,EXPIRED MUNI METER,65.0,60.0,0.0,0.0,125.0,0.0,006,Manhattan,TRAFFIC,UNKNOWN,,2025,2,28,4,1,0,125.0,125.0,0.0,1,2,17,8,6,6
KIC1002,OH,PAS,5701176629,2024-11-13,11:16A,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,18,8,7,6
HNB5536,NY,PAS,5701176666,2024-11-13,11:19A,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,HEARING HELD-GUILTY,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,3
BG6320,NY,PAS,5701176873,2024-11-13,11:31A,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,6
KGS6145,NY,PAS,5701176630,2024-11-13,11:18A,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,6
XBHW19,NJ,PAS,9188790307,2025-02-27,04:22P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,005,Manhattan,TRAFFIC,HEARING HELD-GUILTY,,2025,2,27,3,1,0,115.0,115.0,0.0,1,2,16,8,6,3
KTE7986,NY,PAS,4966010640,2025-09-24,02:46P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,8,1,6
LLZ5970,NY,PAS,4939775860,2025-03-11,09:59A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,8,1,6
FHN6721,NY,PAS,4966010652,2025-09-24,02:46P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,4,17,8,1,6
HXZ1926,NY,PAS,4938004562,2025-02-23,11:30A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,2,23,6,1,1,75.0,75.0,0.0,0,3,17,8,1,6
KKR5052,NY,PAS,4941175013,2025-03-22,03:09P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,1,17,8,1,6
JBN5593,NY,PAS,4941174914,2025-03-22,03:02P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,0,17,8,1,6
HXA1596,NY,PAS,4939775902,2025-03-11,10:03A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
69038A5,TX,PAS,2023347786,2025-04-10,12:12P,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,043,Bronx,DEPARTMENT OF SANITATION,HEARING HELD-GUILTY,,2025,4,10,3,2,0,65.0,65.0,0.0,1,0,23,8,0,3
T785488C,NY,OMT,2023349813,2025-04-11,08:08A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,062,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,6,0,6
KND5283,NY,PAS,8991618558,2021-09-16,01:30P,FRONT OR BACK PLATE MISSING,65.0,60.0,18.129699999999982,0.19,167.3,0.0,084,Brooklyn,TRAFFIC,UNKNOWN,2022-07-28,2021,9,16,3,3,0,143.12969999999999,167.11,0.0,1,1,17,8,6,6
KNX7599,NY,PAS,4965448480,2025-09-19,05:58P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,1,17,8,1,6
KYN4377,NY,PAS,4966010755,2025-09-24,02:47P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,1,17,8,1,6
GMV7135,NY,PAS,4941175530,2025-03-22,03:45P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,8,1,6
JNJ9375,NY,PAS,4939199046,2025-03-06,12:52P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
15489MN,NY,COM,9194104372,2025-04-09,09:42A,INSP. STICKER-EXPIRED/MISSING,65.0,0.0,0.0,0.0,65.0,0.0,014,Manhattan,TRAFFIC,UNKNOWN,,2025,4,9,2,2,0,65.0,65.0,0.0,1,2,17,1,6,6
93428MG,NY,COM,9194104505,2025-04-09,02:26P,EXPIRED MUNI MTR-COMM MTR ZN,65.0,0.0,0.0,35.0,30.0,0.0,014,Manhattan,TRAFFIC,HEARING HELD-GUILTY REDUCTION,,2025,4,9,2,2,0,65.0,-5.0,0.0,1,2,17,1,6,4
JCF5578,NY,PAS,4939776487,2025-03-11,11:00A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
LSW6345,NY,PAS,2023417776,2025-04-15,07:41A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,066,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,1,17,8,0,6
KKX2049,NY,PAS,5701177075,2024-11-13,11:55A,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,6
DTX5212,NY,PAS,2023443003,2025-04-15,09:57A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,001,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
HTW5141,NY,PAS,4966010690,2025-09-24,02:46P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,4,17,8,1,6
KPU9211,NY,PAS,4939198674,2025-03-06,12:47P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
E73UYE,NJ,PAS,4939198571,2025-03-06,12:46P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,16,8,1,6
KVN5686,NY,PAS,4965448649,2025-09-19,06:05P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,3,17,8,1,6
XMHF33,NJ,PAS,4966010767,2025-09-24,02:47P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,1,16,8,1,6
KJR6055,NY,PAS,4966010779,2025-09-24,02:47P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,3,17,8,1,6
KTH8349,NY,PAS,4932520682,2025-01-01,03:21A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,1.4,0.06,76.34,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY,2025-03-27,2025,1,1,2,1,0,76.4,76.28,0.0,0,3,17,8,1,3
KNM8345,NY,PAS,9196194686,2025-05-02,09:29A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,019,Manhattan,TRAFFIC,UNKNOWN,,2025,5,2,4,2,0,65.0,65.0,0.0,1,2,17,8,6,6
LHX9445,NY,PAS,4941175591,2025-03-22,03:47P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,1,17,8,1,6
KMY5471,NY,PAS,4939199150,2025-03-06,12:55P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
70555NE,NY,COM,5701177269,2024-11-13,12:07P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,1,7,6
ENS9720,NY,PAS,5701177385,2024-11-13,12:18P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,6
97197ML,NY,COM,4939777005,2025-03-11,11:15A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,2,17,1,1,6
DCX3557,NY,PAS,4939776852,2025-03-11,11:11A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,2,17,8,1,6
GLV9220,NY,PAS,9179901013,2025-01-14,01:13P,EXPIRED MUNI METER,35.0,0.0,0.0,0.0,35.0,0.0,106,Queens,TRAFFIC,HEARING HELD-GUILTY,,2025,1,14,1,1,0,35.0,35.0,0.0,0,3,17,8,6,3
CWE6172,NY,PAS,4939777170,2025-03-11,11:17A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
KEV8617,NY,PAS,4939199198,2025-03-06,12:57P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
JRT8132,NY,PAS,4939199290,2025-03-06,10:11A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
Y32PNX,NJ,PAS,2023455340,2025-04-12,12:56A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,007,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,12,5,2,1,65.0,65.0,0.0,1,2,16,8,0,6
GYF9339,NY,PAS,2023461996,2025-04-10,07:41A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,045,Bronx,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,10,3,2,0,65.0,65.0,0.0,1,0,17,8,0,6
51449NC,NY,COM,9188791427,2025-03-05,12:52P,DOUBLE PARKING,115.0,0.0,0.0,0.0,115.0,0.0,001,Manhattan,TRAFFIC,HEARING HELD-GUILTY,,2025,3,5,2,1,0,115.0,115.0,0.0,1,2,17,1,6,3
T787964C,NY,OMT,5707327990,2025-11-04,04:10P,MTA CAMERA VIOLATION - DOUBLE PARKING,100.0,0.0,0.0,0.0,100.0,0.0,000,Manhattan,TRANSIT AUTHORITY,UNKNOWN,,2025,11,4,1,4,0,100.0,100.0,0.0,1,2,17,6,7,6
DXN2874,NY,PAS,4938006637,2025-02-23,12:03P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,2,23,6,1,1,75.0,75.0,0.0,0,1,17,8,1,6
Y208932C,NY,OMT,4965448730,2025-09-19,06:06P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,2,17,6,1,6
KSC6323,NY,PAS,4941176042,2025-03-22,04:24P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,8,1,6
XPTL26,NJ,PAS,4939199472,2025-03-06,11:50A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,2,16,8,1,6
KVW4848,NY,PAS,5701177725,2024-11-13,12:34P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,3,17,8,7,6
T117976C,NY,OMT,5701177944,2024-11-13,12:45P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,50.0,0.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,HEARING HELD-NOT GUILTY,,2024,11,13,2,4,0,50.0,-50.0,0.0,0,5,17,6,7,5
LAV2779,NY,PAS,8888645834,2024-02-20,08:15P,SAFETY ZONE,115.0,60.0,2.25,0.0,177.25,0.0,108,Queens,TRAFFIC,UNKNOWN,2024-06-06,2024,2,20,1,1,0,177.25,177.25,0.0,1,3,17,8,6,6
LAM7736,NY,PAS,5701178110,2024-11-13,12:54P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,6
JFJ9860,NY,PAS,5701178109,2024-11-13,12:54P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,6
GFE9363,NY,PAS,4939777546,2025-03-11,11:24A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,17,8,1,6
KJA3447,NY,PAS,2023477750,2025-04-15,09:01A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,066,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,1,17,8,0,6
KJX7479,NY,PAS,4939199812,2025-03-06,12:35P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
MMV2718,PA,PAS,2023521178,2025-04-15,11:51A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,030,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,19,8,0,6
HRZ2881,NY,PAS,4939200243,2025-03-06,12:49P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
JCG3263,NY,PAS,4938006728,2025-02-23,12:04P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,2,23,6,1,1,75.0,75.0,0.0,0,3,17,8,1,6
16BRHT,FL,PAS,2011883519,2023-08-31,12:03P,NO PARKING-STREET CLEANING,65.0,60.0,18.129699999999982,0.0,145.08,0.0,052,Bronx,DEPARTMENT OF SANITATION,HEARING HELD-GUILTY,2024-02-22,2023,8,31,3,3,0,143.12969999999999,145.08,0.0,1,0,6,8,0,3
BL35615,CT,PAS,4939777686,2025-03-11,11:26A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,5,8,1,6
KXT7521,NY,PAS,4936312915,2025-02-07,11:49A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,1.92,0.06,76.86,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,2025-05-01,2025,2,7,4,1,0,76.92,76.8,0.0,0,4,17,8,1,6
M56EPN,NJ,PAS,4941176364,2025-03-22,04:51P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,2,16,8,1,6
LLL8117,NY,PAS,4939777789,2025-03-11,11:27A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY,,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,17,8,1,3
KPH7790,NY,PAS,9049021888,2023-05-04,11:19A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,090,Brooklyn,TRAFFIC,APPEAL AFFIRMED,,2023,5,4,3,2,0,65.0,65.0,0.0,1,1,17,8,6,1
KNS8200,NY,PAS,4939777819,2025-03-11,11:27A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
GZX5935,NY,PAS,4939200292,2025-03-06,12:50P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
JKV2013,NY,PAS,2023525664,2025-04-11,12:46P,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,060,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,8,0,6
KYA6498,NY,PAS,2023525688,2025-04-11,12:50P,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,060,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,8,0,6
KYP6206,NY,PAS,2023543460,2025-04-11,12:11P,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,070,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,8,0,6
A55KGT,NJ,PAS,4939200450,2025-03-06,12:53P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,75.0,75.0,0.0,0,2,16,8,1,6
KTN7479,NY,PAS,9188792134,2025-03-08,08:17A,FAIL TO DSPLY MUNI METER RECPT,65.0,30.0,0.0,0.0,95.0,0.0,001,Manhattan,TRAFFIC,UNKNOWN,,2025,3,8,5,1,1,95.0,95.0,0.0,1,2,17,8,6,6
32062NB,NY,COM,9188791968,2025-03-07,11:55A,NO STANDING-BUS STOP,115.0,0.0,0.0,0.0,115.0,0.0,001,Manhattan,TRAFFIC,HEARING HELD-GUILTY,,2025,3,7,4,1,0,115.0,115.0,0.0,1,2,17,1,6,3
9HWS195,CA,PAS,4966010810,2025-09-24,02:48P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,3,3,8,1,6
S1448280,GA,PAS,9043101011,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,,2023,3,27,0,1,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,7,8,8,6
603509T,NJ,PAS,9043101072,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,,2023,3,27,0,1,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,16,8,8,6
LDX2527,NY,PAS,9194106289,2025-03-24,11:40A,NO PARKING-STREET CLEANING,65.0,10.0,0.0,10.0,65.0,0.0,023,Manhattan,TRAFFIC,UNKNOWN,,2025,3,24,0,1,0,75.0,55.0,0.0,1,2,17,8,6,6
LLU8254,NY,PAS,4941176728,2025-03-22,05:15P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,1,17,8,1,6
BEASTOO,NY,SRF,5701178675,2024-11-13,01:48P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,11,7,6
LNA9389,NY,PAS,5701178730,2024-11-13,01:54P,NO STANDING-OFF-STREET LOT,100.0,0.0,0.0,0.0,100.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,100.0,100.0,0.0,1,5,17,8,7,6
DSF8266,NY,PAS,5701178821,2024-11-13,02:00P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,3,17,8,7,6
LAV6904,NY,PAS,5701178742,2024-11-13,01:55P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,8,7,6
