fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,total_charges,net_paid,unpaid_balance_ratio,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,county_encoded,issuing_agency_encoded,violation_status_encoded,license_type_encoded,cluster
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,22,5,1,1,3,1,6,11,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,22,5,1,1,3,1,6,1,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,6,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,8,2
50.0,25.0,16.23,91.23,0.0,91.23,91.23,0.0,2022,5,17,1,2,0,1,1,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,8,0
65.0,0.0,0.0,0.0,0.0,65.0,-55.09999999999991,0.0,2025,4,8,1,2,0,2,6,5,1,0
65.0,60.0,18.129699999999985,167.3,0.0,143.1297,167.11,0.0,2021,9,16,3,3,0,1,6,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,0,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,0,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,0,1,6,8,2
50.0,25.0,1.24,76.18,0.0,76.24,76.12,0.0,2025,1,14,1,1,0,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,4,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,3,1,6,6,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,0,1,6,1,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,3,7,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,11,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,3,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,1,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
65.0,60.0,2.83,127.83,0.0,127.83,127.83,0.0,2023,5,9,1,2,0,1,0,3,8,1
50.0,25.0,0.0,75.0,0.0,75.0,75.0,0.0,2025,3,11,1,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,10,10,4,4,0,0,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,0,1,6,1,2
59.94399185336049,4.760692464358452,1.0263034623217924,63.7833401221996,0.1069246435845213,65.73098778004073,61.94261710794298,0.0016267006962124,2023,3,27,0,1,0,5,8,6,8,2
59.94399185336049,4.760692464358452,1.0263034623217924,63.7833401221996,0.1069246435845213,65.73098778004073,61.94261710794298,0.0016267006962124,2023,3,27,0,1,0,5,8,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,10,10,4,4,0,4,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,22,5,1,1,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,8,2
50.0,25.0,0.0,75.0,0.0,75.0,75.0,0.0,2025,3,6,3,1,0,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,10,10,4,4,0,2,1,6,8,2
50.0,25.0,18.11,92.98,0.0,93.11,92.85,0.0,2022,5,19,3,2,0,0,1,6,8,1
50.0,25.0,17.48,92.46,0.0,92.48,92.44,0.0,2022,5,26,3,2,0,1,1,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,2,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,4,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,10,10,4,4,0,3,1,6,8,2
115.0,60.0,1.72,176.72,0.0,176.72,176.72,0.0,2025,5,20,1,2,0,0,5,3,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,11,18,1,4,0,3,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,3,1,6,8,2
65.0,10.0,0.0,65.0,0.0,75.0,55.0,0.0,2025,4,9,2,2,0,2,6,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,10,3,2,0,2,6,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,1,1,6,8,2
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,2,0,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,11,4,2,0,1,0,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,2,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,11,4,1,4,0,1,7,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,14,0,2,0,2,6,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,1,7,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,8,2
50.0,25.0,0.0,75.0,0.0,75.0,75.0,0.0,2025,9,23,1,3,0,3,1,6,8,2
65.0,0.0,0.0,50.0,0.0,65.0,35.0,0.0,2025,3,26,2,1,0,2,6,4,1,0
50.0,25.0,0.0,75.0,0.0,75.0,75.0,0.0,2025,2,23,6,1,1,3,1,6,8,0
