fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,23,6,1,1,50.0,50.0,0.0,0,3,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,5,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,6,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,5,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,4,1,6
60.0,0.0,0.0,0.0,60.0,0.0,2025,4,19,5,2,1,60.0,60.0,0.0,1,2,19,8,6,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,22,1,2,0,65.0,65.0,0.0,1,2,17,8,6,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,6,1,6
50.0,25.0,17.48,0.02,92.46,0.0,2022,6,10,4,2,0,92.48,92.44,0.0,0,3,14,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,23,6,1,1,50.0,50.0,0.0,0,5,17,8,7,6
65.0,10.0,0.0,0.0,75.0,0.0,2025,1,10,4,1,0,75.0,75.0,0.0,1,3,17,8,6,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,25.0,17.72,0.03,92.69,0.0,2022,6,13,0,2,0,92.72,92.66,0.0,0,3,14,8,1,6
50.0,25.0,0.0,25.0,50.0,0.0,2025,9,23,1,3,0,75.0,25.0,0.0,0,3,17,8,1,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,9,23,1,3,0,75.0,75.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,2,17,8,1,6
35.0,0.0,0.0,0.0,35.0,0.0,2025,5,1,3,2,0,35.0,35.0,0.0,0,2,17,8,6,6
35.0,0.0,0.0,0.0,35.0,0.0,2025,5,1,3,2,0,35.0,35.0,0.0,0,2,17,8,6,6
